image_path,x,y,z,thumb,fore,index,ring,little,thumb2,fore2,index2,ring2,little2,keycode,gs1,gs2,sign,label
Image\A\0.png,-125,66,62,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\1.png,-125,83,62,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\10.png,-125,100,62,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\100.png,-125,92,62,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\11.png,-131,100,82,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\12.png,-139,100,78,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\13.png,-146,100,67,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\14.png,-139,94,60,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\15.png,-124,94,50,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\16.png,-125,90,50,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\17.png,-116,86,50,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\18.png,-114,89,50,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\19.png,-114,89,50,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\2.png,-136,77,50,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\20.png,-118,90,73,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\21.png,-117,90,73,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\22.png,-111,90,73,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\23.png,-111,84,73,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\24.png,-113,90,73,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\25.png,-120,86,73,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\26.png,-120,89,75,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\27.png,-114,85,55,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\28.png,-114,85,55,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\29.png,-120,85,55,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\3.png,-120,78,55,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\30.png,-120,86,46,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\31.png,-116,86,37,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\32.png,-116,86,37,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\33.png,-113,86,37,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\34.png,-113,87,37,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\35.png,-113,87,37,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\36.png,-111,87,37,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\37.png,-116,87,37,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\38.png,-116,86,37,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\39.png,-111,89,37,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\4.png,-111,77,57,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\40.png,-111,85,44,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\41.png,-113,85,44,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\42.png,-117,85,44,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\43.png,-120,87,44,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\44.png,-120,87,44,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\45.png,-114,87,44,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\46.png,-114,87,44,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\47.png,-114,87,44,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\48.png,-114,87,44,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\49.png,-116,87,44,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\5.png,-111,68,61,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\50.png,-117,86,42,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\51.png,-117,86,42,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\52.png,-117,86,42,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\53.png,-117,86,42,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\54.png,-117,86,42,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\55.png,-117,86,42,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\56.png,-117,86,42,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\57.png,-117,86,42,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\58.png,-117,86,42,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\59.png,-117,86,42,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
Image\A\6.png,-99,68,41,0,0,0,0,0,18,100,100,100,100,0,0,1,0,A
