image_path,x,y,z,thumb,fore,index,ring,little,thumb2,fore2,index2,ring2,little2,keycode,gs1,gs2,sign,label,giroX,giroY,giroZ
Image\A\0.png,-124,64,62,1,0,0,0,2,17,97,98,100,97,0,0,1,0,A,0,0,0
Image\A\1.png,-128,82,66,0,0,0,0,2,21,98,98,99,100,0,0,1,0,A,0,0,0
Image\A\10.png,-121,97,61,0,1,0,2,3,15,98,98,100,99,0,0,1,0,A,0,0,0
Image\A\100.png,-121,89,58,1,3,2,0,0,17,100,100,100,100,0,0,1,0,A,0,0,0
Image\A\11.png,-129,100,84,0,0,0,0,3,18,100,100,97,98,0,0,1,0,A,0,0,0
Image\A\12.png,-137,102,83,3,0,1,0,3,20,99,100,100,97,0,0,1,0,A,0,0,0
Image\A\13.png,-143,103,71,3,0,0,0,0,15,99,99,97,97,0,0,1,0,A,0,0,0
Image\A\14.png,-137,95,57,0,1,3,0,0,17,99,97,100,99,0,0,1,0,A,0,0,0
Image\A\15.png,-123,93,52,1,0,0,0,2,15,100,100,97,97,0,0,1,0,A,0,0,0
Image\A\16.png,-126,88,52,0,0,1,2,2,19,99,100,99,99,0,0,1,0,A,0,0,0
Image\A\17.png,-115,82,48,2,2,1,1,2,17,100,100,100,100,0,0,1,0,A,0,0,0
Image\A\18.png,-115,90,50,0,0,0,0,1,15,100,100,97,99,0,0,1,0,A,0,0,0
Image\A\19.png,-109,94,46,0,0,0,1,0,20,100,99,100,97,0,0,1,0,A,0,0,0
Image\A\2.png,-136,77,46,0,2,2,3,0,16,100,100,98,99,0,0,1,0,A,0,0,0
Image\A\20.png,-122,93,77,3,0,3,0,3,17,97,100,99,99,0,0,1,0,A,0,0,0
Image\A\21.png,-122,94,78,0,3,0,3,0,15,99,100,100,97,0,0,1,0,A,0,0,0
Image\A\22.png,-106,90,76,1,0,1,2,0,20,100,100,97,98,0,0,1,0,A,0,0,0
Image\A\23.png,-115,87,76,0,1,0,0,0,19,100,99,99,100,0,0,1,0,A,0,0,0
Image\A\24.png,-109,94,73,1,0,3,3,0,17,97,100,99,99,0,0,1,0,A,0,0,0
Image\A\25.png,-123,91,71,1,3,2,2,1,19,100,98,97,100,0,0,1,0,A,0,0,0
Image\A\26.png,-120,85,80,1,2,0,1,0,19,100,100,100,97,0,0,1,0,A,0,0,0
Image\A\27.png,-117,89,59,2,0,0,0,3,20,100,98,97,99,0,0,1,0,A,0,0,0
Image\A\28.png,-111,85,55,3,0,2,0,0,20,100,100,99,98,0,0,1,0,A,0,0,0
Image\A\29.png,-118,81,55,0,0,0,0,3,16,100,98,99,100,0,0,1,0,A,0,0,0
Image\A\3.png,-125,73,53,0,0,0,0,0,18,97,100,100,100,0,0,1,0,A,0,0,0
Image\A\30.png,-123,84,43,0,0,0,3,0,18,100,100,100,100,0,0,1,0,A,0,0,0
Image\A\31.png,-117,84,39,3,0,1,1,3,16,98,99,100,97,0,0,1,0,A,0,0,0
Image\A\32.png,-120,84,33,3,0,3,2,2,21,100,100,98,100,0,0,1,0,A,0,0,0
Image\A\33.png,-115,90,39,0,3,0,2,0,18,97,100,100,99,0,0,1,0,A,0,0,0
Image\A\34.png,-115,86,42,3,2,0,3,0,18,97,97,100,99,0,0,1,0,A,0,0,0
Image\A\35.png,-110,87,34,1,3,2,0,3,17,100,99,98,99,0,0,1,0,A,0,0,0
Image\A\36.png,-113,90,41,0,0,2,0,0,17,99,98,98,100,0,0,1,0,A,0,0,0
Image\A\37.png,-115,91,34,3,1,3,0,3,16,100,99,100,97,0,0,1,0,A,0,0,0
Image\A\38.png,-115,83,34,2,0,0,1,0,21,97,100,99,99,0,0,1,0,A,0,0,0
Image\A\39.png,-116,94,42,0,1,3,0,0,21,99,98,100,100,0,0,1,0,A,0,0,0
Image\A\4.png,-112,76,56,0,0,3,0,1,18,100,100,100,100,0,0,1,0,A,0,0,0
Image\A\40.png,-113,84,44,2,0,1,0,1,15,98,99,100,98,0,0,1,0,A,0,0,0
Image\A\41.png,-110,88,46,0,0,2,1,0,20,97,100,100,98,0,0,1,0,A,0,0,0
Image\A\42.png,-112,86,41,0,2,3,0,2,17,98,100,99,100,0,0,1,0,A,0,0,0
Image\A\43.png,-124,82,43,0,0,0,0,1,21,100,99,100,97,0,0,1,0,A,0,0,0
Image\A\44.png,-119,83,41,2,2,1,0,2,17,98,100,97,100,0,0,1,0,A,0,0,0
Image\A\45.png,-109,92,40,3,0,0,3,1,19,97,100,100,99,0,0,1,0,A,0,0,0
Image\A\46.png,-119,82,49,0,0,3,1,0,20,98,100,100,99,0,0,1,0,A,0,0,0
Image\A\47.png,-118,88,40,0,3,1,0,0,20,100,100,100,98,0,0,1,0,A,0,0,0
Image\A\48.png,-110,82,42,0,2,2,0,2,20,100,100,100,100,0,0,1,0,A,0,0,0
Image\A\49.png,-116,84,45,0,3,3,0,2,17,100,98,100,97,0,0,1,0,A,0,0,0
Image\A\5.png,-108,69,58,0,3,0,0,3,18,99,100,99,100,0,0,1,0,A,0,0,0
Image\A\50.png,-114,90,40,3,1,0,1,0,18,100,99,100,100,0,0,1,0,A,0,0,0
Image\A\51.png,-112,84,39,0,0,0,0,2,16,97,97,100,99,0,0,1,0,A,0,0,0
Image\A\52.png,-120,84,42,0,2,0,0,0,18,97,100,100,100,0,0,1,0,A,0,0,0
Image\A\53.png,-119,86,40,2,1,1,0,0,15,100,98,100,97,0,0,1,0,A,0,0,0
